PERIODO,INDEC,IPC-CONGRESO,FECHA
Mensual,0.7,1.7,31/01/2011
Mensual,0.7,1.5,28/02/2011
Mensual,0.8,2,31/03/2011
Mensual,0.8,2,30/04/2011
Mensual,0.7,1.5,31/05/2011
Mensual,0.7,1.52,30/06/2011
Mensual,0.8,1.6,30/07/2011
Mensual,0.8,1.87,31/08/2011
Mensual,0.8,1.89,30/09/2011
Mensual,0.6,1.49,31/10/2011
Mensual,0.6,1.44,30/11/2011
Mensual,0.8,1.9,31/12/2011
Mensual,0.9,1.9,31/01/2012
Mensual,0.7,1.65,29/02/2012
Mensual,0.9,2.31,31/03/2012
Mensual,0.8,2.16,30/04/2012
Mensual,0.8,1.71,31/05/2012
Mensual,0.7,1.63,30/06/2012
Mensual,0.8,1.76,01/07/2012
Mensual,0.9,1.91,31/08/2012
Mensual,0.9,1.93,30/09/2012
Mensual,0.8,1.82,30/10/2012
Mensual,0.9,1.81,30/11/2012
Mensual,1,2.1,31/12/2012
Mensual,1.1,2.58,30/01/2013
Mensual,0.5,1.23,28/02/2013
Mensual,0.7,1.54,31/03/2013
Mensual,0.7,1.52,30/04/2013
Mensual,0.7,1.57,31/05/2013
Mensual,0.8,1.93,30/06/2013
Mensual,0.9,2.55,31/07/2013
Mensual,0.8,2.11,31/08/2013
Mensual,0.8,2.11,30/09/2013
Mensual,0.9,2,31/10/2013
Mensual,0.9,2.4,30/11/2013
Mensual,1.4,3.38,31/12/2013
Mensual,3.7,4.61,31/01/2014
Mensual,3.4,4.3,28/02/2014
Mensual,2.6,3.3,31/03/2014
Mensual,1.8,2.78,30/04/2014
Mensual,1.4,2.28,31/05/2014
Mensual,1.3,2.2,30/06/2014
Mensual,1.4,2.47,31/07/2014
Mensual,1.3,2.65,30/08/2014
Mensual,1.4,2.48,30/09/2014
Mensual,1.2,2.25,31/10/2014
Mensual,1.1,1.86,30/11/2014
Mensual,1,1.87,31/12/2014
Mensual,1.1,2.08,31/01/2015
Mensual,0.9,1.48,28/02/2015
Mensual,1.3,2.12,31/03/2015
Mensual,1.1,2.01,30/04/2015
Mensual,1,2,31/05/2015
Mensual,1,1.53,30/06/2015
Mensual,1.3,1.92,31/07/2015
Mensual,1.2,2.17,31/08/2015
Mensual,1.2,1.92,30/09/2015
Mensual,1.1,1.52,31/10/2015
Mensual,null,2.2,30/11/2015
Mensual,null,3.8,31/12/2015
Mensual,null,3.6,31/01/2016
Mensual,null,4.8,29/02/2016
Mensual,null,3.2,31/03/2016
Mensual,null,6.7,30/04/2016
Mensual,4.2,3.5,31/05/2016
Mensual,3.1,2.9,30/06/2016
Mensual,2,2.4,31/07/2016
Mensual,0.2,0.5,31/08/2016
Mensual,1.1,0.8,30/09/2016
Mensual,2.4,2.9,31/10/2016
Mensual,1.6,1.9,30/11/2016
Mensual,1.2,1.6,31/12/2016
Mensual,1.3,1.6,31/01/2017
Mensual,2.5,2.1,28/02/2017
Mensual,2.4,2.2,31/03/2017
Mensual,2.6,2.1,30/04/2017
Mensual,1.3,1.8,31/05/2017
Mensual,1.2,1.3,30/06/2017
Mensual,1.7,2.1,31/07/2017
